厦门航空,MF7035,石家庄,正定国际机场,T2,2020-03-25 08:05:00,2020-03-25 10:45:00,厦门,高崎国际机场,T3,620,波音738
河北航空,NS3247,石家庄,正定国际机场,T2,2020-03-25 08:05:00,2020-03-25 10:45:00,厦门,高崎国际机场,T3,560,波音738
厦门航空,MF7057,石家庄,正定国际机场,T2,2020-03-25 11:15:00,2020-03-25 13:55:00,厦门,高崎国际机场,T3,620,波音738
河北航空,NS3283,石家庄,正定国际机场,T2,2020-03-25 11:15:00,2020-03-25 13:55:00,厦门,高崎国际机场,T3,560,波音738
厦门航空,MF7045,石家庄,正定国际机场,T2,2020-03-25 14:10:00,2020-03-25 17:00:00,厦门,高崎国际机场,T3,620,波音738
河北航空,NS3263,石家庄,正定国际机场,T2,2020-03-25 14:10:00,2020-03-25 17:00:00,厦门,高崎国际机场,T3,560,波音738
春秋航空,9C8975,石家庄,正定国际机场,T2,2020-03-25 09:00:00,2020-03-25 11:50:00,厦门,高崎国际机场,T4,560,空客320
厦门航空,MF7035,石家庄,正定国际机场,T2,2020-03-26 08:05:00,2020-03-26 10:45:00,厦门,高崎国际机场,T3,620,波音738
河北航空,NS3247,石家庄,正定国际机场,T2,2020-03-26 08:05:00,2020-03-26 10:45:00,厦门,高崎国际机场,T3,560,波音738
厦门航空,MF7043,石家庄,正定国际机场,T2,2020-03-26 11:15:00,2020-03-26 13:55:00,厦门,高崎国际机场,T3,620,巴航工190
河北航空,NS3261,石家庄,正定国际机场,T2,2020-03-26 11:15:00,2020-03-26 13:55:00,厦门,高崎国际机场,T3,560,巴航工190
河北航空,NS3263,石家庄,正定国际机场,T2,2020-03-26 14:10:00,2020-03-26 17:00:00,厦门,高崎国际机场,T3,560,波音738
厦门航空,MF7035,石家庄,正定国际机场,T2,2020-03-27 08:05:00,2020-03-27 10:45:00,厦门,高崎国际机场,T3,620,波音738
河北航空,NS3247,石家庄,正定国际机场,T2,2020-03-27 08:05:00,2020-03-27 10:45:00,厦门,高崎国际机场,T3,560,波音738
厦门航空,MF7057,石家庄,正定国际机场,T2,2020-03-27 11:15:00,2020-03-27 13:55:00,厦门,高崎国际机场,T3,620,波音738
河北航空,NS3283,石家庄,正定国际机场,T2,2020-03-27 11:15:00,2020-03-27 13:55:00,厦门,高崎国际机场,T3,560,波音738
厦门航空,MF7045,石家庄,正定国际机场,T2,2020-03-27 14:10:00,2020-03-27 17:00:00,厦门,高崎国际机场,T3,620,波音738
